name,position,age,market_value,country_from,league_from,club_from,country_to,league_to,club_to,fee
Jude Bellingham,Central Midfield,17,11000000,England,Championship,Birmingham City,Germany,Bundesliga,Borussia Dortmund,23000000
Cengiz Ünder,Right Winger,23,23000000,Italy,Serie A,AS Roma,England,Premier League,Leicester City,3000000
Reinier,Attacking Midfield,18,22000000,Spain,LaLiga,Real Madrid,Germany,Bundesliga,Borussia Dortmund,Loan
Willian,Right Winger,32,22000000,England,Premier League,Chelsea FC,England,Premier League,Arsenal FC,Free transfer
Jeff Reine-Adélaïde,Central Midfield,22,22000000,France,Ligue 1,Olympique Lyon,France,Ligue 1,OGC Nice,Loan
Callum Wilson,Centre-Forward,28,20000000,England,Championship,AFC Bournemouth,England,Premier League,Newcastle United,22000000
Abdoulaye Doucouré,Central Midfield,27,20000000,England,Championship,Watford FC,England,Premier League,Everton FC,22000000
Gianluca Mancini,Centre-Back,24,22000000,Italy,Serie A,Atalanta BC,Italy,Serie A,AS Roma,13000000
Saïd Benrahma,Left Winger,25,22000000,England,Championship,Brentford FC,England,Premier League,West Ham United,4000000
Ross Barkley,Central Midfield,26,21000000,England,Premier League,Chelsea FC,England,Premier League,Aston Villa,Loan
